threads,size,time(usecs)
16,10000,118
16,10000,130
16,10000,129
16,10000,130
16,10000,134
16,10000,118
16,10000,120
16,10000,127
16,10000,124
20,10000,2865
20,10000,156
20,10000,124
20,10000,148
20,10000,127
20,10000,123
20,10000,139
20,10000,136
20,10000,131
20,10000,143
20,10000,146
20,10000,125
20,10000,141
20,10000,133
20,10000,134
20,10000,131
20,10000,135
20,10000,140
20,10000,136
20,10000,132
24,10000,407
24,10000,161
24,10000,172
24,10000,142
24,10000,189
24,10000,167
24,10000,141
24,10000,126
24,10000,127
24,10000,128
24,10000,141
24,10000,199
24,10000,142
24,10000,151
24,10000,159
24,10000,155
24,10000,145
24,10000,141
24,10000,138
24,10000,136
28,10000,4102
28,10000,155
28,10000,158
28,10000,146
28,10000,158
28,10000,163
28,10000,148
28,10000,192
28,10000,167
28,10000,151
28,10000,148
28,10000,167
28,10000,186
28,10000,153
28,10000,129
28,10000,156
28,10000,169
28,10000,139
28,10000,188
28,10000,156
32,10000,4607
32,10000,2342
32,10000,166
32,10000,166
32,10000,160
32,10000,154
32,10000,155
32,10000,161
32,10000,178
32,10000,193
32,10000,166
32,10000,174
32,10000,183
32,10000,171
32,10000,188
32,10000,192
32,10000,177
32,10000,171
32,10000,175
32,10000,157
38,10000,585
38,10000,185
38,10000,207
38,10000,169
38,10000,169
38,10000,183
38,10000,190
38,10000,202
38,10000,175
38,10000,185
38,10000,197
38,10000,192
38,10000,202
38,10000,195
38,10000,179
38,10000,218
38,10000,197
38,10000,185
38,10000,193
38,10000,190
40,10000,4081
40,10000,186
40,10000,190
40,10000,208
40,10000,184
40,10000,196
40,10000,186
40,10000,173
40,10000,183
40,10000,183
40,10000,173
40,10000,193
40,10000,178
40,10000,191
40,10000,200
40,10000,183
40,10000,188
40,10000,190
40,10000,191
40,10000,199
2,1000000,1105
2,1000000,1022
2,1000000,1027
2,1000000,1003
2,1000000,1013
2,1000000,989
2,1000000,1039
2,1000000,1009
2,1000000,1016
2,1000000,1058
2,1000000,1028
2,1000000,1032
2,1000000,1037
2,1000000,1035
2,1000000,1021
2,1000000,1017
2,1000000,1015
2,1000000,1039
2,1000000,1038
2,1000000,1027
4,1000000,698
4,1000000,600
4,1000000,577
4,1000000,604
4,1000000,589
4,1000000,576
4,1000000,595
4,1000000,566
4,1000000,611
4,1000000,573
4,1000000,577
4,1000000,603
4,1000000,574
4,1000000,617
4,1000000,602
4,1000000,634
4,1000000,548
4,1000000,576
4,1000000,612
4,1000000,572
6,1000000,2800
6,1000000,673
6,1000000,685
6,1000000,651
6,1000000,684
6,1000000,698
6,1000000,683
6,1000000,700
6,1000000,676
6,1000000,697
6,1000000,699
6,1000000,677
6,1000000,699
6,1000000,489
6,1000000,487
6,1000000,539
6,1000000,512
6,1000000,488
6,1000000,530
6,1000000,510
8,1000000,670
8,1000000,576
8,1000000,563
8,1000000,621
8,1000000,557
8,1000000,566
8,1000000,589
8,1000000,561
8,1000000,568
8,1000000,568
8,1000000,559
8,1000000,592
8,1000000,558
8,1000000,571
8,1000000,577
8,1000000,571
8,1000000,588
8,1000000,571
8,1000000,563
8,1000000,585
10,1000000,2546
10,1000000,527
10,1000000,538
10,1000000,508
10,1000000,554
10,1000000,523
10,1000000,518
10,1000000,546
10,1000000,523
10,1000000,529
10,1000000,542
10,1000000,517
10,1000000,546
10,1000000,543
10,1000000,530
10,1000000,534
10,1000000,510
10,1000000,525
10,1000000,560
10,1000000,526
12,1000000,858
12,1000000,500
12,1000000,499
12,1000000,519
12,1000000,492
12,1000000,506
12,1000000,503
12,1000000,499
12,1000000,501
12,1000000,508
12,1000000,489
12,1000000,493
12,1000000,499
12,1000000,517
12,1000000,486
12,1000000,513
12,1000000,526
12,1000000,490
12,1000000,505
12,1000000,519
16,1000000,2612
16,1000000,479
16,1000000,469
16,1000000,479
16,1000000,478
16,1000000,477
16,1000000,474
16,1000000,508
16,1000000,464
16,1000000,485
16,1000000,474
16,1000000,497
16,1000000,490
16,1000000,504
16,1000000,477
16,1000000,502
16,1000000,487
16,1000000,505
16,1000000,492
16,1000000,480
20,1000000,590
20,1000000,491
20,1000000,511
20,1000000,482
20,1000000,476
20,1000000,507
20,1000000,480
20,1000000,500
20,1000000,471
20,1000000,488
20,1000000,499
20,1000000,478
20,1000000,481
20,1000000,515
20,1000000,489
20,1000000,504
20,1000000,491
20,1000000,496
20,1000000,485
20,1000000,487
24,1000000,1039
24,1000000,490
24,1000000,478
24,1000000,491
24,1000000,473
24,1000000,492
24,1000000,493
24,1000000,485
24,1000000,507
24,1000000,478
24,1000000,474
24,1000000,501
24,1000000,468
24,1000000,481
24,1000000,498
24,1000000,477
24,1000000,504
24,1000000,494
24,1000000,476
24,1000000,492
28,1000000,3125
28,1000000,495
28,1000000,495
28,1000000,514
28,1000000,485
28,1000000,496
28,1000000,466
28,1000000,520
28,1000000,479
28,1000000,503
28,1000000,489
28,1000000,513
28,1000000,505
28,1000000,483
28,1000000,492
28,1000000,507
28,1000000,485
28,1000000,514
28,1000000,467
28,1000000,511
32,1000000,4645
32,1000000,480
32,1000000,490
32,1000000,525
32,1000000,483
32,1000000,498
32,1000000,518
32,1000000,495
32,1000000,483
32,1000000,526
32,1000000,492
32,1000000,505
32,1000000,514
32,1000000,493
32,1000000,496
32,1000000,521
32,1000000,513
32,1000000,493
32,1000000,497
32,1000000,536
38,1000000,6326
38,1000000,516
38,1000000,504
38,1000000,519
38,1000000,502
38,1000000,504
38,1000000,506
38,1000000,500
38,1000000,508
38,1000000,496
38,1000000,488
38,1000000,511
38,1000000,507
38,1000000,499
38,1000000,504
38,1000000,500
38,1000000,506
38,1000000,498
38,1000000,489
38,1000000,516
40,1000000,4343
40,1000000,511
40,1000000,504
40,1000000,506
40,1000000,514
40,1000000,510
40,1000000,506
40,1000000,520
40,1000000,533
40,1000000,524
40,1000000,6819
40,1000000,517
40,1000000,511
40,1000000,517
40,1000000,501
40,1000000,510
40,1000000,509
40,1000000,501
40,1000000,513
40,1000000,521
2,100000000,98680
2,100000000,98300
2,100000000,98242
2,100000000,98346
2,100000000,98201
2,100000000,98241
2,100000000,98345
2,100000000,98256
2,100000000,98257
2,100000000,98168
2,100000000,98506
2,100000000,98552
2,100000000,98477
2,100000000,97932
2,100000000,98238
2,100000000,98336
2,100000000,98244
2,100000000,98185
2,100000000,98310
2,100000000,98261
4,100000000,65027
4,100000000,61816
4,100000000,61742
4,100000000,61726
4,100000000,61859
4,100000000,61976
4,100000000,61707
4,100000000,61767
4,100000000,61573
4,100000000,61684
4,100000000,61562
4,100000000,61853
4,100000000,61710
4,100000000,61899
4,100000000,61864
4,100000000,61846
4,100000000,61569
4,100000000,61556
4,100000000,61705
4,100000000,61216
6,100000000,66524
6,100000000,69075
6,100000000,65532
6,100000000,64969
6,100000000,66646
6,100000000,67011
6,100000000,67120
6,100000000,67177
6,100000000,67108
6,100000000,67016
6,100000000,67005
6,100000000,69595
6,100000000,68317
6,100000000,68178
6,100000000,68304
6,100000000,67998
6,100000000,68226
6,100000000,67565
6,100000000,68300
6,100000000,67941
8,100000000,58596
8,100000000,60177
8,100000000,58944
8,100000000,59070
8,100000000,52590
8,100000000,52264
8,100000000,51924
8,100000000,51321
8,100000000,52052
8,100000000,53150
8,100000000,53713
8,100000000,51143
8,100000000,53676
8,100000000,52149
8,100000000,54013
8,100000000,52206
8,100000000,51776
8,100000000,51762
8,100000000,51318
8,100000000,51364
10,100000000,53392
10,100000000,49646
10,100000000,50021
10,100000000,50019
10,100000000,50764
10,100000000,49825
10,100000000,49635
10,100000000,50088
10,100000000,49663
10,100000000,50380
10,100000000,49873
10,100000000,49637
10,100000000,49817
10,100000000,50164
10,100000000,50181
10,100000000,49658
10,100000000,50125
